gene,cellType.target,mean.target,cellType.2nd,mean.2nd,MeanRatio,MeanRatio.rank,MeanRatio.anno,gene_ensembl,gene_name,marker_gene
ENSG00000250842,amy_Inhib_D,0.8444168345618325,amy_Inhib_B,0.11803686225013045,7.15384006711767,2,amy_Inhib_D/amy_Inhib_B: 7.154,ENSG00000250842,AC137770.1,TRUE
ENSG00000112319,amy_Inhib_D,2.0444075636180354,amy_Inhib_F,0.4167851992753804,4.90518273482942,3,amy_Inhib_D/amy_Inhib_F: 4.905,ENSG00000112319,EYA4,TRUE
ENSG00000133392,amy_Inhib_D,0.7093587183072867,amy_Mural,0.1565028595651967,4.532560748589892,4,amy_Inhib_D/amy_Mural: 4.533,ENSG00000133392,MYH11,TRUE
ENSG00000157404,amy_Inhib_D,2.1952703214511815,amy_Inhib_B,0.5594974994473886,3.9236463498396925,5,amy_Inhib_D/amy_Inhib_B: 3.924,ENSG00000157404,KIT,TRUE
ENSG00000164946,amy_Inhib_D,1.501232362940711,amy_Inhib_B,0.42377530029952515,3.5425197312812644,6,amy_Inhib_D/amy_Inhib_B: 3.543,ENSG00000164946,FREM1,TRUE
ENSG00000145681,amy_Inhib_D,0.7867257150459371,amy_Inhib_F,0.23685661357381796,3.3215273290257894,7,amy_Inhib_D/amy_Inhib_F: 3.322,ENSG00000145681,HAPLN1,TRUE
ENSG00000235665,amy_Inhib_D,1.3433133640176609,amy_Astro_B,0.5005951024210019,2.6834328932126277,8,amy_Inhib_D/amy_Astro_B: 2.683,ENSG00000235665,LINC00298,TRUE
ENSG00000120875,amy_Inhib_D,0.366482136795632,amy_Excit_B,0.14102015018151495,2.5987926996525834,9,amy_Inhib_D/amy_Excit_B: 2.599,ENSG00000120875,DUSP4,TRUE
ENSG00000204103,amy_Inhib_D,0.3019685692781034,amy_Inhib_B,0.11820241737606986,2.554673381318148,10,amy_Inhib_D/amy_Inhib_B: 2.555,ENSG00000204103,MAFB,TRUE
ENSG00000125869,amy_Inhib_D,0.9103929301436692,amy_Inhib_C,0.3712206635948067,2.4524306414617523,11,amy_Inhib_D/amy_Inhib_C: 2.452,ENSG00000125869,LAMP5,TRUE
