gene,cellType.target,mean.target,cellType.2nd,mean.2nd,MeanRatio,MeanRatio.rank,MeanRatio.anno,gene_ensembl,gene_name,marker_gene
ENSG00000101203,sacc_OPC,0.6623395618699985,sacc_Excit_E,0.01257120795950419,52.6870260999263,1,sacc_OPC/sacc_Excit_E: 52.687,ENSG00000101203,COL20A1,TRUE
ENSG00000166573,sacc_OPC,0.9372196808638223,sacc_Excit_B,0.030497080492689038,30.731455789300842,2,sacc_OPC/sacc_Excit_B: 30.731,ENSG00000166573,GALR1,TRUE
ENSG00000173546,sacc_OPC,0.6571217313861919,sacc_Excit_E,0.03670919612697774,17.900738798888337,3,sacc_OPC/sacc_Excit_E: 17.901,ENSG00000173546,CSPG4,TRUE
ENSG00000101311,sacc_OPC,1.4370312905639802,sacc_Inhib_K,0.10233165375674858,14.042881530869531,5,sacc_OPC/sacc_Inhib_K: 14.043,ENSG00000101311,FERMT1,TRUE
ENSG00000257842,sacc_OPC,1.4835863668919664,sacc_Excit_F,0.22567183909364671,6.574087280231384,7,sacc_OPC/sacc_Excit_F: 6.574,ENSG00000257842,LINC02588,TRUE
ENSG00000065320,sacc_OPC,1.6403085432239455,sacc_Astro_B,0.25923527676300506,6.327489698570339,8,sacc_OPC/sacc_Astro_B: 6.327,ENSG00000065320,NTN1,TRUE
ENSG00000278254,sacc_OPC,3.290993310322058,sacc_Inhib_K,0.5726363738001301,5.747090930466685,9,sacc_OPC/sacc_Inhib_K: 5.747,ENSG00000278254,AC004852.2,TRUE
ENSG00000196132,sacc_OPC,1.742311885121371,sacc_Inhib_H,0.3139042088624322,5.550457228450018,10,sacc_OPC/sacc_Inhib_H: 5.55,ENSG00000196132,MYT1,TRUE
ENSG00000134853,sacc_OPC,0.9741306351333535,sacc_Inhib_D,0.1908217623634815,5.1049242134018655,11,sacc_OPC/sacc_Inhib_D: 5.105,ENSG00000134853,PDGFRA,TRUE
ENSG00000169302,sacc_OPC,1.8869304076748956,sacc_Inhib_C,0.37759058681056684,4.997291970685563,12,sacc_OPC/sacc_Inhib_C: 4.997,ENSG00000169302,STK32A,TRUE
ENSG00000157734,sacc_OPC,0.7004668518856237,sacc_Oligo_A,0.15447546082685434,4.534486242256628,13,sacc_OPC/sacc_Oligo_A: 4.534,ENSG00000157734,SNX22,TRUE
ENSG00000152527,sacc_OPC,1.4745361409197992,sacc_Oligo_B,0.33708511561201965,4.374373333698217,14,sacc_OPC/sacc_Oligo_B: 4.374,ENSG00000152527,PLEKHH2,TRUE
ENSG00000187678,sacc_OPC,0.9550804046491305,sacc_Inhib_D,0.22254085894802475,4.291708089758893,15,sacc_OPC/sacc_Inhib_D: 4.292,ENSG00000187678,SPRY4,TRUE
ENSG00000169129,sacc_OPC,1.248994142960855,sacc_Inhib_J,0.314445940997742,3.9720472746373408,16,sacc_OPC/sacc_Inhib_J: 3.972,ENSG00000169129,AFAP1L2,TRUE
ENSG00000112280,sacc_OPC,1.469324569654309,sacc_Inhib_J,0.39996746411444617,3.673610234541173,17,sacc_OPC/sacc_Inhib_J: 3.674,ENSG00000112280,COL9A1,TRUE
ENSG00000258733,sacc_OPC,1.2909826166540825,sacc_Astro_A,0.37818679417403933,3.4136110423252375,18,sacc_OPC/sacc_Astro_A: 3.414,ENSG00000258733,LINC02328,TRUE
ENSG00000140807,sacc_OPC,0.8337536583156824,sacc_Oligo_B,0.25750199548938446,3.2378531930641055,19,sacc_OPC/sacc_Oligo_B: 3.238,ENSG00000140807,NKD1,TRUE
ENSG00000237036,sacc_OPC,0.9446146369858468,sacc_Astro_A,0.32842280124228723,2.87621515136209,21,sacc_OPC/sacc_Astro_A: 2.876,ENSG00000237036,ZEB1-AS1,TRUE
ENSG00000120156,sacc_OPC,1.0123688122484242,sacc_Excit_C,0.3540835429166261,2.8591241601047823,22,sacc_OPC/sacc_Excit_C: 2.859,ENSG00000120156,TEK,TRUE
ENSG00000127252,sacc_OPC,0.9528472452572799,sacc_Inhib_K,0.3341463260647979,2.851586777801361,23,sacc_OPC/sacc_Inhib_K: 2.852,ENSG00000127252,HRASLS,TRUE
ENSG00000144791,sacc_OPC,0.9088730586342295,sacc_Micro,0.3204812909517995,2.835962922936816,24,sacc_OPC/sacc_Micro: 2.836,ENSG00000144791,LIMD1,TRUE
ENSG00000075429,sacc_OPC,0.7437798069913379,sacc_Inhib_I,0.2690906254160126,2.7640494938887543,25,sacc_OPC/sacc_Inhib_I: 2.764,ENSG00000075429,CACNG5,TRUE
ENSG00000170775,sacc_Oligo_A,0.97577799117233,sacc_Oligo_B,0.23865211512496057,4.088704559192376,1,sacc_Oligo_A/sacc_Oligo_B: 4.089,ENSG00000170775,GPR37,TRUE
ENSG00000164161,sacc_Oligo_A,2.0723194120766966,sacc_Oligo_B,0.699827285086445,2.961186933174114,2,sacc_Oligo_A/sacc_Oligo_B: 2.961,ENSG00000164161,HHIP,TRUE
ENSG00000245293,sacc_Oligo_A,0.9902691781497428,sacc_Oligo_B,0.34006744547018297,2.911978759920933,3,sacc_Oligo_A/sacc_Oligo_B: 2.912,ENSG00000245293,AC096564.1,TRUE
ENSG00000197430,sacc_Oligo_A,1.6851425985645694,sacc_Oligo_B,0.6079862406878745,2.7716788403928385,4,sacc_Oligo_A/sacc_Oligo_B: 2.772,ENSG00000197430,OPALIN,TRUE
ENSG00000224924,sacc_Oligo_A,1.532720995579641,sacc_Oligo_B,0.5830885987746235,2.628624532876643,5,sacc_Oligo_A/sacc_Oligo_B: 2.629,ENSG00000224924,LINC00320,TRUE
ENSG00000071991,sacc_Oligo_A,1.2326637312346855,sacc_Oligo_B,0.47731098099837654,2.582517017849372,6,sacc_Oligo_A/sacc_Oligo_B: 2.583,ENSG00000071991,CDH19,TRUE
ENSG00000173786,sacc_Oligo_A,1.6419609969542697,sacc_Oligo_B,0.6815548701208984,2.409139849096828,7,sacc_Oligo_A/sacc_Oligo_B: 2.409,ENSG00000173786,CNP,TRUE
ENSG00000236287,sacc_Oligo_A,1.0574192230713508,sacc_Inhib_B,0.4491141767862448,2.3544552314914515,8,sacc_Oligo_A/sacc_Inhib_B: 2.354,ENSG00000236287,ZBED5,TRUE
ENSG00000116574,sacc_Oligo_A,0.9738804294473576,sacc_Oligo_B,0.4363156357484061,2.232054846663641,9,sacc_Oligo_A/sacc_Oligo_B: 2.232,ENSG00000116574,RHOU,TRUE
ENSG00000104419,sacc_Oligo_A,0.9724800478194978,sacc_Oligo_B,0.4403241063775526,2.2085550932468188,10,sacc_Oligo_A/sacc_Oligo_B: 2.209,ENSG00000104419,NDRG1,TRUE
ENSG00000235448,sacc_Oligo_A,1.6853977676965441,sacc_Oligo_B,0.7707810649739752,2.1866102376988854,11,sacc_Oligo_A/sacc_Oligo_B: 2.187,ENSG00000235448,LURAP1L-AS1,TRUE
ENSG00000152689,sacc_Oligo_A,1.1102273642806082,sacc_Oligo_B,0.5089661584199501,2.1813382794000127,12,sacc_Oligo_A/sacc_Oligo_B: 2.181,ENSG00000152689,RASGRP3,TRUE
ENSG00000172508,sacc_Oligo_A,1.0693520960030076,sacc_Oligo_B,0.49118854625330344,2.1770705041064784,13,sacc_Oligo_A/sacc_Oligo_B: 2.177,ENSG00000172508,CARNS1,TRUE
ENSG00000095397,sacc_Oligo_A,0.8554827704436611,sacc_Oligo_B,0.3951338475876782,2.1650455299297886,14,sacc_Oligo_A/sacc_Oligo_B: 2.165,ENSG00000095397,WHRN,TRUE
ENSG00000178425,sacc_Oligo_A,1.5978409829364797,sacc_Oligo_B,0.7415315756017784,2.154784820376363,15,sacc_Oligo_A/sacc_Oligo_B: 2.155,ENSG00000178425,NT5DC1,TRUE
ENSG00000103540,sacc_Oligo_A,1.5617492432414102,sacc_Oligo_B,0.7288365884423463,2.142797532405922,16,sacc_Oligo_A/sacc_Oligo_B: 2.143,ENSG00000103540,CCP110,TRUE
ENSG00000123505,sacc_Oligo_A,0.9594785927505788,sacc_Excit_C,0.45072144233807865,2.128761808564878,17,sacc_Oligo_A/sacc_Excit_C: 2.129,ENSG00000123505,AMD1,TRUE
