BrainRegion,cell_type,FDR_ct_sig,bonf_ct_sig
Amygdala,Astro,11,3
Amygdala,Endo,1,1
Amygdala,Excit,0,0
Amygdala,Inhib,3,0
Amygdala,Macro,13,1
Amygdala,Micro,0,0
Amygdala,Mural,3,2
Amygdala,Oligo,3,2
Amygdala,OPC,1,1
Amygdala,Tcell,17,8
sACC,Astro,0,0
sACC,Endo,0,0
sACC,Excit,13,3
sACC,Inhib,2,2
sACC,Macro,30,3
sACC,Micro,0,0
sACC,Mural,39,7
sACC,Oligo,1,1
sACC,OPC,5,0
sACC,Tcell,28,0
