BrainRegion,cell_type,FDR_ct_sig,bonf_ct_sig
Amygdala,Astro,0,0
Amygdala,Endo,2,2
Amygdala,Excit,1,1
Amygdala,Inhib,0,0
Amygdala,Macro,2,1
Amygdala,Micro,0,0
Amygdala,Mural,0,0
Amygdala,Oligo,0,0
Amygdala,OPC,0,0
Amygdala,Tcell,1,1
sACC,Astro,0,0
sACC,Endo,13,4
sACC,Excit,28,6
sACC,Inhib,8,0
sACC,Macro,5,2
sACC,Micro,0,0
sACC,Mural,11,3
sACC,Oligo,32,1
sACC,OPC,0,0
sACC,Tcell,1,1
